500,0,0,0,0,0,0
750,0,0,0,0,0,0
1000,0,0,0,0,0,0
1250,0,0,0,0,0,0
1500,0,0,0,0,0,0
1750,0,0,0,0,0,0
2000,0,0,0,1,0,0
2250,0,0,0,0,0,0
2500,0,0,1,2,0,40
2750,0,1,10,60,180,260
3000,4,3,40,254,400,320
3250,10,13,55,205,80,60
3500,14,22,40,76,40,60
3750,21,17,27,55,80,40
4000,18,25,33,45,40,100
4250,14,24,44,78,100,60
4500,23,22,41,51,60,40
4750,21,16,24,53,0,20
5000,14,30,33,35,20,0
5250,27,28,46,28,0,0
5500,35,36,46,16,0,0
5750,28,30,45,11,0,0
6000,37,48,40,2,0,0
6250,38,37,21,2,0,0
6500,32,32,23,2,0,0
6750,41,32,34,0,0,0
7000,37,36,35,2,0,0
7250,49,50,37,1,0,0
7500,46,51,29,2,0,0
7750,44,43,24,10,0,0
8000,43,31,30,6,0,0
8250,49,40,33,3,0,0
8500,33,37,19,0,0,0
8750,42,31,18,0,0,0
9000,41,28,21,0,0,0
9250,23,26,19,0,0,0
9500,18,21,8,0,0,0
9750,23,23,15,0,0,0
10000,16,19,8,0,0,0
10250,21,18,16,0,0,0
10500,21,15,12,0,0,0
10750,19,12,16,0,0,0
11000,14,12,5,0,0,0
11250,9,11,8,0,0,0
11500,4,15,4,0,0,0
11750,9,5,4,0,0,0
12000,5,5,5,0,0,0
12250,8,5,4,0,0,0
12500,8,4,5,0,0,0
12750,7,4,3,0,0,0
13000,4,8,3,0,0,0
13250,8,7,2,0,0,0
13500,5,3,4,0,0,0
13750,2,1,1,0,0,0
14000,3,6,0,0,0,0
14250,0,2,2,0,0,0
14500,0,3,2,0,0,0
14750,0,2,0,0,0,0
15000,1,0,0,0,0,0
